event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,steer_present,accelerator_present,brake_present,steer,accelerator,brake
output_tick,14500000000,14500.0,14500.686635,14500000000,0,0.6985420000000886,0,1,1,1,1,1.0,0.0
output_tick,14600000000,14600.0,14600.711389,14600000000,0,0.7483329999995476,0,1,1,1,1,1.0,0.0
output_tick,14700000000,14700.0,14700.724237,14700000000,0,0.7359219999998459,0,1,1,1,1,1.0,0.0
output_tick,14800000000,14800.0,14800.2767,14800000000,0,0.28658899999936693,0,1,1,1,1,1.0,0.0
output_tick,14900000000,14900.0,14900.714691,14900000000,0,0.7268019999992248,0,1,1,1,1,1.0,0.0
output_tick,15000000000,15000.0,15000.287339,15000000000,0,0.29839499999980035,0,1,1,1,1,1.0,0.0
output_tick,15100000000,15100.0,15100.671534,15100000000,0,0.6827749999993102,0,1,1,1,1,1.0,0.0
output_tick,15200000000,15200.0,15200.763696,15200000000,0,0.7756030000000464,0,1,1,1,1,1.0,0.0
output_tick,15300000000,15300.0,15300.727618,15300000000,0,0.738839999999982,0,1,1,1,1,1.0,0.0
output_tick,15400000000,15400.0,15400.725317,15400000000,0,0.7380570000004809,0,1,1,1,1,1.0,0.0
output_tick,15500000000,15500.0,15500.281743,15500000000,0,0.2928909999991447,0,1,1,1,1,1.0,0.0
output_tick,15600000000,15600.0,15600.722271,15600000000,0,0.7340299999996205,0,1,1,1,1,1.0,0.0
output_tick,15700000000,15700.0,15700.326918,15700000000,0,0.33832599999914237,0,1,1,1,1,1.0,0.0
output_tick,15800000000,15800.0,15800.69041,15800000000,0,0.7011320000001433,0,1,1,1,1,1.0,0.0
output_tick,15900000000,15900.0,15900.729053,15900000000,0,0.741015999999945,0,1,1,1,1,1.0,0.0
output_tick,16000000000,16000.0,16000.643753,16000000000,0,0.6540860000004614,0,1,1,1,1,1.0,0.0
output_tick,16100000000,16100.0,16100.632397,16100000000,0,0.6436929999999847,0,1,1,1,1,1.0,0.0
output_tick,16200000000,16200.0,16200.732706,16200000000,0,0.7444090000008146,0,1,1,1,1,1.0,0.0
output_tick,16300000000,16300.0,16300.716201,16300000000,0,0.7279240000007121,0,1,1,1,1,1.0,0.0
output_tick,16400000000,16400.0,16400.716011,16400000000,0,0.7274560000005295,0,1,1,1,1,1.0,0.0
output_tick,16500000000,16500.0,16500.715877,16500000000,0,0.7277659999999742,0,1,1,1,1,1.0,0.0
output_tick,16600000000,16600.0,16600.794649,16600000000,0,0.8070379999990109,0,1,1,1,1,1.0,0.0
output_tick,16700000000,16700.0,16700.702238,16700000000,0,0.7139229999993404,0,1,1,1,1,1.0,0.0
output_tick,16800000000,16800.0,16800.708548,16800000000,0,0.7202890000007756,0,1,1,1,1,1.0,0.0
output_tick,16900000000,16900.0,16900.706821,16900000000,0,0.7184500000003027,0,1,1,1,1,1.0,0.0
output_tick,17000000000,17000.0,17000.670372,17000000000,0,0.6821869999985211,0,1,1,1,1,1.0,0.0
output_tick,17100000000,17100.0,17100.735367,17100000000,0,0.74721800000043,0,1,1,1,1,1.0,0.0
output_tick,17200000000,17200.0,17200.739177,17200000000,0,0.7512129999995523,0,1,1,1,1,1.0,0.0
output_tick,17300000000,17300.0,17300.366879,17300000000,0,0.3782129999999597,0,1,1,1,1,1.0,0.0
output_tick,17400000000,17400.0,17400.742815,17400000000,0,0.754425999999512,0,1,1,1,1,1.0,0.0
output_tick,17500000000,17500.0,17500.712069,17500000000,0,0.7242909999986296,0,1,1,1,1,1.0,0.0
sensor_arrival,17514512312,17514.512312,17515.042843,17514512312,0,0.5376240000005055,0,0,1,0,1,0.9568627450980393,0.0
sensor_arrival,17522453413,17522.453413,17522.951463,17522453413,0,0.5042539999994915,0,0,1,0,1,0.9490196078431372,0.0
sensor_arrival,17530669622,17530.669622,17531.653371,17530669622,0,0.9938970000002882,0,0,1,0,1,0.9137254901960784,0.0
sensor_arrival,17538535853,17538.535853,17539.222309,17538535853,0,0.6946779999998398,0,0,1,0,1,0.8901960784313725,0.0
sensor_arrival,17546590583,17546.590583,17547.354093,17546590583,0,0.7722319999993488,0,0,1,0,1,0.803921568627451,0.0
sensor_arrival,17554575276,17554.575276,17555.36599,17554575276,0,0.8000839999986056,0,0,1,0,1,0.7019607843137254,0.0
sensor_arrival,17562608228,17562.608228,17563.371609,17562608228,0,0.7721399999973073,0,0,1,0,1,0.6313725490196078,0.0
sensor_arrival,17570570069,17570.570069,17571.271506,17570570069,0,0.7092329999977665,0,0,1,0,1,0.47843137254901963,0.0
sensor_arrival,17578558059,17578.558059,17579.380568,17578558059,0,0.831398000002082,0,0,1,0,1,0.396078431372549,0.0
sensor_arrival,17586589751,17586.589751,17587.373132,17586589751,0,0.7918620000018564,0,0,1,0,1,0.23529411764705882,0.0
sensor_arrival,17594543482,17594.543482,17595.273566,17594543482,0,0.7378809999972873,0,0,1,0,1,0.14901960784313725,0.0
output_tick,17600000000,17600.0,17600.405512,17600000000,0,0.41429000000061933,0,1,1,1,1,0.14901960784313725,0.0
sensor_arrival,17602678488,17602.678488,17603.937901,17602678488,0,1.2694679999985965,0,0,1,0,1,0.0,0.0
output_tick,17700000000,17700.0,17700.751966,17700000000,0,0.7638000000006286,0,1,1,1,1,0.0,0.0
output_tick,17800000000,17800.0,17800.73148,17800000000,0,0.7697939999998198,0,1,1,1,1,0.0,0.0
output_tick,17900000000,17900.0,17900.723308,17900000000,0,0.7356050000016694,0,1,1,1,1,0.0,0.0
output_tick,18000000000,18000.0,18000.726229,18000000000,0,0.7375439999996161,0,1,1,1,1,0.0,0.0
output_tick,18100000000,18100.0,18100.735187,18100000000,0,0.7476129999995464,0,1,1,1,1,0.0,0.0
output_tick,18200000000,18200.0,18200.715849,18200000000,0,0.7273859999986598,0,1,1,1,1,0.0,0.0
output_tick,18300000000,18300.0,18300.726196,18300000000,0,0.7384359999996377,0,1,1,1,1,0.0,0.0
output_tick,18400000000,18400.0,18400.757227,18400000000,0,0.7690049999982875,0,1,1,1,1,0.0,0.0
output_tick,18500000000,18500.0,18500.676593,18500000000,0,0.688055999999051,0,1,1,1,1,0.0,0.0
output_tick,18600000000,18600.0,18600.771735,18600000000,0,0.7850499999985914,0,1,1,1,1,0.0,0.0
output_tick,18700000000,18700.0,18700.351438,18700000000,0,0.36314199999833363,0,1,1,1,1,0.0,0.0
output_tick,18800000000,18800.0,18800.674411,18800000000,0,0.6860220000016852,0,1,1,1,1,0.0,0.0
output_tick,18900000000,18900.0,18900.29828,18900000000,0,0.31031699999948614,0,1,1,1,1,0.0,0.0
output_tick,19000000000,19000.0,19000.708845,19000000000,0,0.7243820000003325,0,1,1,1,1,0.0,0.0
